old_name,new_name,promportal_url,raw_url,collision_resolved
"Колесо зубчатое - 1м63.61.164 .jpg","koleso_zubchatoe_-_1m63.61.164_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.164_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.164_2.jpg","Yes"
"Колесо зубчатое - 1м63.61.164.jpg","koleso_zubchatoe_-_1m63.61.164_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.164_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.164_3.jpg","Yes"
"Колесо зубчатое - 1м63.61.228 .jpg","koleso_zubchatoe_-_1m63.61.228.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.228.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.228.jpg",""
"Колесо зубчатое - 1м63.61.228.jpg","koleso_zubchatoe_-_1m63.61.228_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.228_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.228_2.jpg","Yes"
"Колесо зубчатое - 1м63.61.229  .jpg","koleso_zubchatoe_-_1m63.61.229.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.229.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.229.jpg",""
"Колесо зубчатое - 1м63.61.229 .jpg","koleso_zubchatoe_-_1m63.61.229_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.229_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.229_2.jpg","Yes"
"Колесо зубчатое - 1м63.61.229.jpg","koleso_zubchatoe_-_1m63.61.229_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.229_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63.61.229_3.jpg","Yes"
"Колесо зубчатое - 1м63Б.60.252  .jpg","koleso_zubchatoe_-_1m63b.60.252.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.60.252.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.60.252.jpg",""
"Колесо зубчатое - 1м63Б.60.252 .jpg","koleso_zubchatoe_-_1m63b.60.252_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.60.252_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.60.252_2.jpg","Yes"
"Колесо зубчатое - 1м63Б.60.252.jpg","koleso_zubchatoe_-_1m63b.60.252_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.60.252_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.60.252_3.jpg","Yes"
