old_name,new_name,raw_url,shifr,src_kb,dst_kb,status
Гайка шпинделя специалного станка глубокого сверления и растачивания рт403.jpg,gajka_shpindelya_spetsialnogo_stanka_glubokogo_sverleniya_i_rastachivaniya_rt403.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/gajka_shpindelya_spetsialnogo_stanka_glubokogo_sverleniya_i_rastachivaniya_rt403.jpg,,1245.5,46.3,OK
Гайки 16к30ф323.30.024 1м63.03.037 1а983.30.007 узел задняя бабка.jpg,gajki_16k30f323.30.024_1m63.03.037_1a983.30.007_uzel_zadnyaya_babka.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/gajki_16k30f323.30.024_1m63.03.037_1a983.30.007_uzel_zadnyaya_babka.jpg,16k30f323.30.024,164.4,49.2,OK
Гидрооцкок к суппорту станков рт783 рт983 — русстанко.jpg,gidrootskok_k_supportu_stankov_rt783_rt983_russtanko.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/gidrootskok_k_supportu_stankov_rt783_rt983_russtanko.jpg,,357.3,50.3,OK
"Гнездо 163.04.174 в резцедержатель 1м63, 1н983.jpg",gnezdo_163.04.174_v_reztsederzhatel_1m63_1n983.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/gnezdo_163.04.174_v_reztsederzhatel_1m63_1n983.jpg,,359.5,41.1,OK
Двигател для револверной головки 1п756.jpg,dvigatel_dlya_revolvernoj_golovki_1p756.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/dvigatel_dlya_revolvernoj_golovki_1p756.jpg,,170.3,50.1,OK
Деталь -стакан револьверной головки 1П756ДФ3.40.000 — RUSSTANKO.jpg,detal_-stakan_revolvernoj_golovki_1p756df3.40.000_russtanko.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/detal_-stakan_revolvernoj_golovki_1p756df3.40.000_russtanko.jpg,1p756df3.40.000,411.3,47.6,OK
Диагональные кулачки зажима колесной пары для колесотокарных станков мод.КЗТС1836 — RUSSTANKO.jpg,diagonalnye_kulachki_zazhima_kolesnoj_pary_dlya_kolesotokarnykh_stankov_mod.kzts1836_russtanko.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/diagonalnye_kulachki_zazhima_kolesnoj_pary_dlya_kolesotokarnykh_stankov_mod.kzts1836_russtanko.jpg,,484.5,64.6,OK
Диск инструменталный 1п756дф3.47.000 для револверной головки 1п756дф3.39.000 станка 1п756дф3.jpg,disk_instrumentalnyj_1p756df3.47.000_dlya_revolvernoj_golovki_1p756df3.39.000_stanka_1p756df3.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/disk_instrumentalnyj_1p756df3.47.000_dlya_revolvernoj_golovki_1p756df3.39.000_stanka_1p756df3.jpg,1p756df3.47.000,209.8,58.8,OK
Диски для револверных головок 1п756.jpg,diski_dlya_revolvernykh_golovok_1p756.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/diski_dlya_revolvernykh_golovok_1p756.jpg,,174.7,49.6,OK
Диски фрикционные 1м63.21.387 и 1м63.21.388 для станков 1м63 1м63н дип300 16к40.jpg,diski_friktsionnye_1m63.21.387_i_1m63.21.388_dlya_stankov_1m63_1m63n_dip300_16k40.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/diski_friktsionnye_1m63.21.387_i_1m63.21.388_dlya_stankov_1m63_1m63n_dip300_16k40.jpg,1m63.21.387,181.3,54.8,OK
